Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/29/2024,03/29/2024,Payment Thank You-Mobile,,Payment,189.71,
03/19/2024,03/20/2024,Amazon.com*RH14S5TV2,Shopping,Sale,-29.97,
03/16/2024,03/17/2024,Payment Thank You-Mobile,,Payment,184.17,
03/08/2024,03/10/2024,Amazon.com*RN7876OQ1,Shopping,Sale,-14.48,
03/05/2024,03/06/2024,Amazon.com*RN4K35OE2,Shopping,Sale,-14.06,
03/01/2024,03/01/2024,Payment Thank You-Mobile,,Payment,191.75,
02/25/2024,02/26/2024,Whole Foods VND 10444,Groceries,Sale,-91.84,
02/20/2024,02/20/2024,AMZN Mktp US*RW0WZ8H10,Shopping,Sale,-8.27,
02/18/2024,02/19/2024,Whole Foods DOM 10316,Groceries,Sale,-29.99,
02/18/2024,02/19/2024,Whole Foods DOM 10316,Groceries,Sale,-66.07,
02/17/2024,02/18/2024,Payment Thank You-Mobile,,Payment,191.00,
02/14/2024,02/15/2024,Amazon.com,Shopping,Return,1407.24,
02/13/2024,02/14/2024,AMZN Mktp US,Shopping,Return,311.46,
02/08/2024,02/08/2024,AMZN Mktp US*RB8B12PG2,Shopping,Sale,-1417.53,
02/08/2024,02/08/2024,AMZN Mktp US*RB0EB8DZ0,Shopping,Sale,-186.19,
02/05/2024,02/06/2024,Amazon.com*RB8056TN0,Shopping,Sale,-1407.24,
02/05/2024,02/05/2024,AMZN Mktp US*R23SO3VD1,Shopping,Sale,-12.98,
02/03/2024,02/04/2024,Amazon.com*R233H58B2,Shopping,Sale,-13.79,
02/03/2024,02/04/2024,AMZN Mktp US*R21WT1J41,Shopping,Sale,-311.46,
02/02/2024,02/04/2024,AMZN Mktp US*R20ZO3IF0,Shopping,Sale,-12.22,
02/02/2024,02/02/2024,Payment Thank You-Mobile,,Payment,152.71,
02/01/2024,02/02/2024,AMZN Mktp US*R080P8W41,Shopping,Sale,-12.94,
01/30/2024,01/31/2024,AMZN Mktp US*R264885W0,Shopping,Sale,-21.64,
01/21/2024,01/22/2024,Whole Foods VND 10444,Groceries,Sale,-154.69,
01/19/2024,01/21/2024,Amazon Kids+*R86JX9052,Shopping,Sale,-5.32,
01/19/2024,01/19/2024,Payment Thank You-Mobile,,Payment,152.50,
01/09/2024,01/09/2024,AMZN Mktp US*RT85G9PJ0,Shopping,Sale,-10.27,
01/05/2024,01/05/2024,Payment Thank You-Mobile,,Payment,180.00,
01/03/2024,01/04/2024,AMZN Mktp US,Shopping,Return,108.24,
01/03/2024,01/04/2024,AMZN Mktp US,Shopping,Return,19.47,
01/03/2024,01/04/2024,AMZN Mktp US,Shopping,Return,108.24,
01/03/2024,01/04/2024,AMZN Mktp US,Shopping,Return,11.68,
01/03/2024,01/04/2024,AMZN Mktp US,Shopping,Return,22.07,
12/29/2023,12/31/2023,AMZN Mktp US*6D8ZB1EI3,Shopping,Sale,-9.72,
12/28/2023,12/28/2023,AMZN Mktp US*990JP6OD3,Shopping,Sale,-39.06,
12/26/2023,12/27/2023,Prime Video Channels,Shopping,Sale,-5.40,
12/27/2023,12/27/2023,AMZN Mktp US*QR8FH1U93,Shopping,Sale,-22.38,
12/27/2023,12/27/2023,AMZN Mktp US*YM4XB8O63,Shopping,Sale,-18.23,
12/22/2023,12/22/2023,Payment Thank You-Mobile,,Payment,180.00,
12/20/2023,12/21/2023,AMZN Mktp US*C93UT64H3,Shopping,Sale,-108.24,
12/20/2023,12/21/2023,Whole Foods VND 10444,Groceries,Sale,-82.16,
12/19/2023,12/20/2023,Amazon Kids+*XG8G47CA3,Shopping,Sale,-5.32,
12/18/2023,12/19/2023,Prime Video *FT1P13UK3,Shopping,Sale,-2.15,
12/18/2023,12/18/2023,AMZN Mktp US*K64ZJ1E03,Shopping,Sale,-20.56,
12/18/2023,12/18/2023,AMZN Mktp US*XW3Q410H3,Shopping,Sale,-19.47,
12/17/2023,12/18/2023,AMZN Mktp US*8Z2B080U3,Shopping,Sale,-11.68,
12/18/2023,12/18/2023,Amazon.com*PP73772W3,Shopping,Sale,-119.08,
12/18/2023,12/18/2023,AMZN Mktp US*GU5VP8XA3,Shopping,Sale,-108.24,
12/12/2023,12/13/2023,AMZN Mktp US*AL8OR00B3,Shopping,Sale,-24.35,
12/09/2023,12/10/2023,Payment Thank You-Mobile,,Payment,212.76,
12/06/2023,12/06/2023,Amazon.com*X10052DW3,Shopping,Sale,-16.23,
12/06/2023,12/06/2023,Amazon.com*SC5ZN4NI3,Shopping,Sale,-15.58,
11/25/2023,11/26/2023,Whole Foods PPK 10146,Groceries,Sale,-141.21,
11/23/2023,11/23/2023,Payment Thank You-Mobile,,Payment,213.00,
11/19/2023,11/20/2023,Whole Foods VND 10444,Groceries,Sale,-7.58,
11/19/2023,11/20/2023,Amazon Kids+*CC1VI6K63,Shopping,Sale,-5.32,
11/19/2023,11/20/2023,Whole Foods VND 10444,Groceries,Sale,-142.68,
11/10/2023,11/10/2023,Payment Thank You-Mobile,,Payment,81.16,
11/06/2023,11/07/2023,AMZN Mktp US*1E3U339J3,Shopping,Sale,-22.07,
11/07/2023,11/07/2023,AMZN Mktp US*BG9E206A3,Shopping,Sale,-10.81,
11/06/2023,11/07/2023,AMZN Mktp US*I16KA6F73,Shopping,Sale,-13.43,
11/05/2023,11/06/2023,AMZN Mktp US*AP7D19CJ3,Shopping,Sale,-10.81,
11/03/2023,11/03/2023,AMZN Mktp US*P615W2Q43,Shopping,Sale,-28.94,
11/01/2023,11/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.33,
11/02/2023,11/02/2023,AMZN Mktp US*9G22H6583,Shopping,Sale,-59.53,
10/27/2023,10/29/2023,AMZN Mktp US,Shopping,Return,97.40,
10/27/2023,10/27/2023,Payment Thank You - Web,,Payment,180.00,
10/24/2023,10/24/2023,AMZN Mktp US*P738800Z3,Shopping,Sale,-36.78,
10/22/2023,10/22/2023,AMZN Mktp US*3U8AU75D3,Shopping,Sale,-97.40,
10/22/2023,10/22/2023,AMZN Mktp US*712JA34M3,Shopping,Sale,-97.40,
10/19/2023,10/20/2023,Amazon Kids+*TP9YS9S61,Shopping,Sale,-5.32,
10/16/2023,10/17/2023,Whole Foods VND 10444,Groceries,Sale,-6.28,
10/16/2023,10/17/2023,Whole Foods VND 10444,Groceries,Sale,-31.66,
10/13/2023,10/13/2023,Payment Thank You - Web,,Payment,360.00,
10/10/2023,10/10/2023,AMZN Mktp US*TE67D2Q70,Shopping,Sale,-18.39,
10/03/2023,10/04/2023,AMZN Mktp US*T94SM0WU2,Shopping,Sale,-34.62,
10/01/2023,10/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.30,
09/30/2023,10/01/2023,Whole Foods QRY 10075,Groceries,Sale,-26.76,
09/30/2023,10/01/2023,Amazon.com*T197Z88Z1,Shopping,Sale,-14.08,
09/30/2023,10/01/2023,AMZN Mktp US*T11S528Z1,Shopping,Sale,-20.56,
09/30/2023,10/01/2023,AMZN Mktp US*T958N7842,Shopping,Sale,-173.19,
09/29/2023,09/29/2023,Payment Thank You - Web,,Payment,176.80,
09/28/2023,09/29/2023,AMZN Mktp US*T14YX6K70,Shopping,Sale,-26.63,
09/29/2023,09/29/2023,AMZN Mktp US*T93XW3P72,Shopping,Sale,-60.72,
09/26/2023,09/27/2023,AMZN Mktp US*T11KV0VZ0,Shopping,Sale,-41.12,
09/22/2023,09/24/2023,AMZN Mktp US*TX7OZ6YU0,Shopping,Sale,-41.12,
09/19/2023,09/20/2023,Amazon Kids+*TX89Z6620,Shopping,Sale,-5.32,
09/19/2023,09/19/2023,Payment Thank You - Web,,Payment,177.00,
09/17/2023,09/18/2023,Whole Foods VND 10444,Groceries,Sale,-211.78,
09/17/2023,09/18/2023,Amazon.com*TX7XL4VZ2,Shopping,Sale,-38.97,
09/14/2023,09/14/2023,AMZN Mktp US*TR1L21VG1,Shopping,Sale,-22.51,
09/12/2023,09/13/2023,AMZN Mktp US*TR6DA23X1,Shopping,Sale,-59.13,
09/12/2023,09/13/2023,AMZN Mktp US*TR01O1TQ1,Shopping,Sale,-37.01,
09/08/2023,09/10/2023,Amazon.com*TR3ML7322,Shopping,Sale,-64.81,
09/05/2023,09/06/2023,AMZN Mktp US*TL2XX0E21,Shopping,Sale,-13.52,
09/03/2023,09/04/2023,Amazon.com*TL5RZ0GO0,Shopping,Sale,-10.81,
09/03/2023,09/04/2023,Whole Foods VND 10444,Groceries,Sale,-21.53,
09/01/2023,09/03/2023,MEGA PRO,Bills & Utilities,Sale,-5.46,
09/01/2023,09/01/2023,Payment Thank You-Mobile,,Payment,119.00,
08/29/2023,08/29/2023,Amazon.com*T35DU3QN0,Shopping,Sale,-11.89,
08/25/2023,08/25/2023,AMZN Mktp US*T35B333Y2,Shopping,Sale,-54.11,
08/22/2023,08/22/2023,AMZN Mktp US*TQ0QQ5HC0,Shopping,Sale,-16.23,
08/19/2023,08/20/2023,Amazon Kids+*TQ5105O31,Shopping,Sale,-5.32,
08/18/2023,08/18/2023,Payment Thank You-Mobile,,Payment,26.83,
08/16/2023,08/17/2023,Amazon Prime*TQ9AU3FL2,Bills & Utilities,Sale,-150.47,
08/01/2023,08/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.51,
07/28/2023,07/30/2023,Amazon.com*TH9X67F92,Shopping,Sale,-16.00,
07/26/2023,07/26/2023,Payment Thank You - Web,,Payment,153.67,
07/19/2023,07/20/2023,Amazon Kids+*9R36I0KU3,Shopping,Sale,-5.32,
07/07/2023,07/09/2023,AMZN Mktp US,Shopping,Return,27.21,
07/07/2023,07/09/2023,AMZN Mktp US,Shopping,Return,26.45,
07/07/2023,07/07/2023,Payment Thank You - Web,,Payment,173.77,
07/05/2023,07/06/2023,AMZN Mktp US*HE7FO8KU3,Shopping,Sale,-14.71,
07/05/2023,07/06/2023,Amazon.com*LJ2H39ZW3,Shopping,Sale,-25.97,
07/05/2023,07/06/2023,AMZN Mktp US*3B72R3UY3,Shopping,Sale,-37.88,
07/02/2023,07/03/2023,AMZN Mktp US*AI6WM4CN3,Shopping,Sale,-26.45,
07/01/2023,07/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.46,
06/28/2023,06/28/2023,AMZN Mktp US*036DO4Z23,Shopping,Sale,-27.21,
06/28/2023,06/28/2023,AMZN Mktp US*JT9125AG3,Shopping,Sale,-7.55,
06/26/2023,06/26/2023,Payment Thank You-Mobile,,Payment,174.00,
06/25/2023,06/25/2023,AMZN Mktp US*E28TD4S53,Shopping,Sale,-45.44,
06/20/2023,06/21/2023,Amazon.com*7K7H422O3,Shopping,Sale,-9.19,
06/19/2023,06/20/2023,Amazon Kids+*P91IY2RM3,Shopping,Sale,-5.32,
06/16/2023,06/18/2023,Prime Video Channels,Shopping,Sale,-2.15,
06/13/2023,06/14/2023,Prime Video Channels,Shopping,Sale,-8.65,
06/14/2023,06/14/2023,AMZN Mktp US*KP14F7QQ3,Shopping,Sale,-183.92,
06/12/2023,06/13/2023,Prime Video *HJ1PP0B23,Shopping,Sale,-21.64,
06/12/2023,06/13/2023,AMZN Mktp US*J95YF2JX3,Shopping,Sale,-64.90,
06/09/2023,06/09/2023,Payment Thank You - Web,,Payment,98.40,
06/04/2023,06/05/2023,Prime Video *9B7C29GL3,Shopping,Sale,-10.81,
06/02/2023,06/04/2023,AMZN Mktp US*0R5KN91M3,Shopping,Sale,-27.74,
06/01/2023,06/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.36,
05/26/2023,05/26/2023,Payment Thank You-Mobile,,Payment,100.00,
05/23/2023,05/24/2023,AMZN Mktp US*3M11W4MH3,Shopping,Sale,-12.97,
05/23/2023,05/24/2023,AMZN Mktp US*PZ8UJ47R3,Shopping,Sale,-4.31,
05/19/2023,05/21/2023,Amazon Kids+*FG7G321G3,Shopping,Sale,-5.32,
05/16/2023,05/17/2023,Prime Video*2M1PA1W43,Shopping,Sale,-2.15,
05/14/2023,05/14/2023,AMZN Mktp US*L07KJ8UZ3,Shopping,Sale,-21.64,
05/13/2023,05/14/2023,Prime Video*H48TU1VI2,Shopping,Sale,-8.65,
05/12/2023,05/12/2023,Payment Thank You-Mobile,,Payment,76.35,
05/01/2023,05/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.51,
04/28/2023,04/30/2023,Prime Video *HF8FM79T2,Shopping,Sale,-16.23,
04/29/2023,04/30/2023,Payment Thank You-Mobile,,Payment,80.00,
04/28/2023,04/30/2023,Amazon.com*HM8MF5TQ0,Shopping,Sale,-13.56,
04/25/2023,04/26/2023,AMZN Mktp US*HF4MT8QF0,Shopping,Sale,-14.56,
04/26/2023,04/26/2023,Amazon.com*HF6M38G12,Shopping,Sale,-63.87,
04/25/2023,04/25/2023,AMZN Mktp US*HF48H0392,Shopping,Sale,-18.18,
04/23/2023,04/24/2023,AMZN Mktp US*HF1MR3PW0,Shopping,Sale,-20.55,
04/19/2023,04/20/2023,Amazon Kids+*HV9SF0V11,Shopping,Sale,-5.32,
04/17/2023,04/18/2023,Amazon.com*HV8X761B0,Shopping,Sale,-10.33,
04/14/2023,04/14/2023,Payment Thank You-Mobile,,Payment,150.00,
04/13/2023,04/14/2023,Prime Video*HJ1UK9U80,Shopping,Sale,-8.65,
04/01/2023,04/02/2023,AMZN Mktp US*HY1FE0PH2,Shopping,Sale,-14.71,
04/01/2023,04/02/2023,AMZN Mktp US*HS68I8C60,Shopping,Sale,-64.78,
04/01/2023,04/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.45,
04/01/2023,04/02/2023,AMZN Mktp US*HY4OO6PH2,Shopping,Sale,-19.47,
03/31/2023,03/31/2023,Payment Thank You - Web,,Payment,162.55,
03/29/2023,03/30/2023,AMZN Mktp US*HY3LE8CL2,Shopping,Sale,-17.00,
03/24/2023,03/24/2023,Amazon.com*H78RN69J0,Shopping,Sale,-15.09,
03/21/2023,03/21/2023,Payment Thank You-Mobile,,Payment,162.50,
03/20/2023,03/21/2023,AMZN Mktp US*HC2P38S71,Shopping,Sale,-25.97,
03/20/2023,03/21/2023,Amazon.com*HC6RZ4VX2,Shopping,Sale,-7.57,
03/19/2023,03/20/2023,Amazon Kids+*HC8VG50Q2,Shopping,Sale,-5.32,
03/17/2023,03/19/2023,Whole Foods VND 10444,Groceries,Sale,-122.34,
03/12/2023,03/13/2023,Whole Foods VND 10444,Groceries,Sale,-37.52,
03/05/2023,03/06/2023,Whole Foods VND 10444,Groceries,Sale,-8.30,
03/03/2023,03/03/2023,Payment Thank You - Web,,Payment,433.80,
03/01/2023,03/02/2023,MEGA PRO,Bills & Utilities,Sale,-5.31,
02/23/2023,02/24/2023,AMZN Mktp US*HD02Y43J0,Shopping,Sale,-32.46,
02/23/2023,02/23/2023,Payment Thank You-Mobile,,Payment,433.00,
02/22/2023,02/23/2023,Amazon.com*HP45Z6VK1,Shopping,Sale,-62.03,
02/22/2023,02/22/2023,Amazon.com*HP6MB8101,Shopping,Sale,-8.36,
02/22/2023,02/22/2023,AMZN Mktp US*HP9IT1WQ0,Shopping,Sale,-16.44,
02/19/2023,02/20/2023,AMZN Mktp US*HE2N23W72,Shopping,Sale,-73.60,
02/17/2023,02/17/2023,Amazon.com*HE8NR4HE2,Shopping,Sale,-72.77,
02/17/2023,02/17/2023,AMZN Mktp US*HP7SR5AN0,Shopping,Sale,-8.26,
02/06/2023,02/07/2023,Amazon.com*XX8RE53W3,Groceries,Sale,-223.83,
01/29/2023,01/30/2023,MEGA PRO,Bills & Utilities,Sale,-5.44,
01/28/2023,01/29/2023,Whole Foods VND 10444,Groceries,Sale,-43.20,
01/24/2023,01/25/2023,Audible*8J6S869U3,Bills & Utilities,Sale,-16.18,
01/24/2023,01/25/2023,Amazon.com*EB6K80ME3,Groceries,Sale,-321.55,
01/21/2023,01/22/2023,Payment Thank You-Mobile,,Payment,83.79,
01/16/2023,01/17/2023,WHOLEFDS QRY 10075,Groceries,Sale,-4.32,
01/16/2023,01/17/2023,WHOLEFDS QRY 10075,Groceries,Sale,-252.28,
01/06/2023,01/06/2023,Payment Thank You - Web,,Payment,155.36,
01/04/2023,01/05/2023,Kindle Unltd*EZ4JK0PK3,Shopping,Sale,-10.81,
01/03/2023,01/04/2023,AMZN Mktp US*WB8KP0J73,Shopping,Sale,-13.53,
12/29/2022,12/30/2022,MEGA PRO,Bills & Utilities,Sale,-5.34,
12/23/2022,12/23/2022,Payment Thank You-Mobile,,Payment,156.00,
12/20/2022,12/20/2022,Amazon.com*YS8PQ4223,Shopping,Sale,-54.11,
12/14/2022,12/14/2022,AMZN Mktp US*6U63B4EE3,Shopping,Sale,-16.55,
12/14/2022,12/14/2022,AMZN Mktp US*RS05M9QS3,Shopping,Sale,-86.59,
12/13/2022,12/13/2022,AUTOMATIC PAYMENT - THANK,,Payment,79.85,
12/10/2022,12/11/2022,Prime Video *2Y0GO0NU3,Shopping,Sale,-4.32,
12/05/2022,12/06/2022,Amazon.com*Z01RF1UZ3,Shopping,Sale,-7.57,
12/05/2022,12/06/2022,Amazon.com*HN8EI1N82,Shopping,Sale,-23.44,
12/04/2022,12/05/2022,Kindle Unltd*VF6XV2XC3,Shopping,Sale,-10.81,
12/04/2022,12/04/2022,AMZN Mktp US*RS8Y27YP3,Shopping,Sale,-15.14,
11/30/2022,12/01/2022,AMZN Mktp US*IA61N99F3,Shopping,Sale,-37.88,
11/29/2022,11/30/2022,MEGA PRO,Bills & Utilities,Sale,-5.19,
11/26/2022,11/27/2022,Payment Thank You-Mobile,,Payment,185.00,
11/24/2022,11/24/2022,AMZN Mktp US*HW1XK2HW0,Shopping,Sale,-43.29,
11/23/2022,11/23/2022,Amazon.com*HW7X33P90,Shopping,Sale,-37.88,
11/23/2022,11/23/2022,AMZN Mktp US*HI80E17W2,Shopping,Sale,-10.81,
11/19/2022,11/20/2022,AMZN Mktp US*HI76R2NZ2,Shopping,Sale,-11.89,
11/17/2022,11/17/2022,Payment Thank You - Web,,Payment,264.00,
11/08/2022,11/08/2022,Amazon.com*H259S69C1,Shopping,Sale,-134.96,
11/07/2022,11/07/2022,Payment Thank You-Mobile,,Payment,100.01,
11/07/2022,11/07/2022,Amazon.com*H23WW5RT0,Shopping,Sale,-68.88,
11/07/2022,11/07/2022,Amazon.com*H240P1FI2,Shopping,Sale,-16.23,
11/07/2022,11/07/2022,Amazon.com*H26697DA1,Shopping,Sale,-39.35,
11/04/2022,11/06/2022,Kindle Unltd*H29MP0BI0,Shopping,Sale,-10.81,
