Transaction Date,Post Date,Description,Amount,Category,Account
11/25/2023,11/25/2023,walmart,39.77,spend,
11/25/2023,11/25/2023,the loft,13.70,spend,
11/25/2023,11/25/2023,duluth,27.23,spend,
11/25/2023,11/25/2023,sett warehouse,69.22,spend,
11/25/2023,11/25/2023,dinosaur,26.00,spend,
11/25/2023,11/25/2023,the cliff house,196.75,spend,vacation
11/26/2023,11/26/2023,goodwill,14.07,spend,
11/26/2023,11/26/2023,Santa wkshp,8.41,spend,
11/26/2023,11/26/2023,Santa wkshp,57.78,spend,
11/26/2023,11/26/2023,Cafe leo,56.76,spend,
11/27/2023,11/27/2023,Santa wkshp,96.00,spend,
11/27/2023,11/27/2023,Theo toys,16.25,spend,
11/27/2023,11/27/2023,loft,10.70,spend,
11/27/2023,11/27/2023,Walmart ,47.42,groceries,
11/27/2023,11/27/2023,gas,121.56,spend,vacation
11/27/2023,11/27/2023,Adam's cafe,88.32,spend,
11/27/2023,11/27/2023,garden of the gods,12.00,spend,
11/27/2023,11/27/2023,garden of the gods,16.80,spend,
11/27/2023,11/27/2023,garden of the gods,12.58,spend,
11/27/2023,11/27/2023,parking,5.50,spend,
11/28/2023,11/28/2023,parking,2.75,spend,
11/28/2023,11/28/2023,Cafe leo,14.10,spend,
11/28/2023,11/28/2023,monkey co,26.31,spend,
11/28/2023,11/28/2023,Theo toys,7.58,spend,
11/29/2023,11/29/2023,Cafe leo,50.47,spend,
11/29/2023,11/29/2023,blanca,16.44,spend,
11/29/2023,11/29/2023,Google youtube,24.89,recurring,
11/29/2023,11/29/2023,gas,69.68,spend,vacation 
11/29/2023,11/29/2023,whataburger,20.21,spend,
11/29/2023,11/29/2023,whataburger,3.67,spend,
11/30/2023,11/30/2023,palace coffee,18.76,spend,
11/30/2023,11/30/2023,main st market,38.53,spend,
12/03/2023,12/03/2023,heb online,351.22,groceries,
12/03/2023,12/03/2023,chat gpt,21.28,recurring,
11/28/2023,11/28/2023,rapid express,20.00,recurring,
11/28/2023,11/28/2023,netflix,24.89,recurring,
11/28/2023,11/28/2023,cbs,12.98,recurring,
12/01/2023,12/01/2023,seaworld,7.00,spend,
12/01/2023,12/01/2023,sa music,180.00,recurring,
11/29/2023,11/29/2023,marriot,428.17,spend,VACATION
11/30/2023,11/30/2023,marriot,30.77,spend,
11/30/2023,11/30/2023,allsups,89.33,spend,VACATION
11/30/2023,11/30/2023,allsusp,9.71,spend,
12/01/2023,12/01/2023,car wash,12.00,spend,
12/01/2023,12/01/2023,seaworld,17.11,spend,
12/01/2023,12/01/2023,seaworld,22.71,spend,
12/01/2023,12/01/2023,seaworld,32.94,spend,
12/01/2023,12/01/2023,seaworld,113.65,spend,
12/01/2023,12/01/2023,youtube tv,59.53,recurring,
12/01/2023,12/01/2023,mixtli,442.46,spend,
12/03/2023,12/03/2023,circle k,37.38,spend,gas
12/01/2023,12/01/2023,UNITED,109.00,reimburseable,WORK
12/01/2023,12/01/2023,UNITED,104.00,reimburseable,WORK
12/02/2023,12/02/2023,MAE DUNNE,92.45,reimburseable,
12/03/2023,12/03/2023,QUAY,92.01,spend,
12/04/2023,12/04/2023,coinbase,9.99,spend,
12/04/2023,12/04/2023,uber,70.15,reimburseable,work
12/05/2023,12/05/2023,uber,29.90,reimburseable,work
12/05/2023,12/05/2023,gvtc,94.50,recurring,
12/04/2023,12/04/2023,ace hotel,40.66,spend,
12/04/2023,12/04/2023,ace hotel,51.37,spend,
12/04/2023,12/04/2023,lawn,70.00,spend,
12/05/2023,12/05/2023,mta,2.90,spend,
12/05/2023,12/05/2023,mta,2.90,spend,
12/05/2023,12/05/2023,rci,13.00,spend,
12/05/2023,12/05/2023,yannis coffee,6.72,reimburseable,work
12/05/2023,12/05/2023,rci,13.00,spend,
12/05/2023,12/05/2023,rci,31.00,spend,
12/05/2023,12/05/2023,h&m,89.11,spend,
12/05/2023,12/05/2023,robinhood,100.00,investing,
12/06/2023,12/06/2023,amazon,15.58,spend,
12/06/2023,12/06/2023,amazon,16.23,spend,
12/08/2023,12/08/2023,rocket,8.53,recurring,
12/09/2023,12/09/2023,PAYPAL *UBER EATS,30.97,reimburseable,work
12/08/2023,12/08/2023,PAYPAL *UBER,10.13,reimburseable,work
12/08/2023,12/08/2023,PAYPAL *UBER,4.79,reimburseable,work
12/08/2023,12/08/2023,PAYPAL *UBER,5.78,reimburseable,work
12/07/2023,12/07/2023,CURB NYC TAXI,26.04,spend,
12/08/2023,12/08/2023,CIRCLE K #2741060,3.99,spend,
12/08/2023,12/08/2023,TST* LE PAIN QUOTIDIEN -,4.81,spend,
12/08/2023,12/08/2023,APPLE.COM/BILL,8.65,spend,
12/08/2023,12/08/2023,7-ELEVEN 39226,8.88,spend,
12/08/2023,12/08/2023,VIRGIN HOTEL NEW YORK,13.07,reimburseable,work
12/08/2023,12/08/2023,SAT AIRPORT PARKING-PR,80.00,reimburseable,work
12/08/2023,12/08/2023,UA INFLT 0164259573025,10.00,reimburseable,work
12/08/2023,12/08/2023,UA INFLT 0164259506050,10.00,reimburseable,work
12/08/2023,12/08/2023,TST* THE CHELSEA BELL,9.25,spend,
12/08/2023,12/08/2023,TST* THE CHELSEA BELL,10.57,spend,
12/08/2023,12/08/2023,TARGET 00021873,10.70,spend,
12/08/2023,12/08/2023,TST* THE CHELSEA BELL,10.85,spend,
12/08/2023,12/08/2023,WWW.CVS.COM,11.64,spend,
12/08/2023,12/08/2023,TST* THE CHELSEA BELL,11.89,spend,
12/08/2023,12/08/2023,TARGET 00021873,13.48,spend,
12/09/2023,12/09/2023,PARKING MANAGEMENT CO.,5.41,spend,
12/09/2023,12/09/2023,SQ *LA HACIENDA PRODUCTS,12.47,spend,
12/09/2023,12/09/2023,SQ *HOME TEAM HOT DOGS,12.99,spend,
12/09/2023,12/09/2023,SQ *ELSA?S FILIPINO CUISI,21.65,spend,
12/09/2023,12/09/2023,CENTRAL MARKET #191,32.90,groceries,
12/09/2023,12/09/2023,TST* THE BOILER HOUSE,23.65,spend,
12/09/2023,12/09/2023,BASS PRO STORE SAN ANTON,44.00,spend,
12/10/2023,12/10/2023,PLAN FEE - FORD OF BOERNE,7.22,spend,
12/10/2023,12/10/2023,PLAN FEE - GUCCI #737,10.16,spend,
12/07/2023,12/07/2023,"ANALYTEHEALTH  
 Pay over time",187.65,reimburseable,
12/06/2023,12/06/2023,SQ *ST KILDA COFFEE INC.,6.50,reimburseable,work
12/05/2023,12/05/2023,eataly,119.10,reimburseable,work
12/10/2023,12/10/2023,"H-E-B #566  
 Pay over time",233.48,groceries,
12/10/2023,12/10/2023,TRADER JOE S #451,17.98,spend,
12/10/2023,12/10/2023,PLAN FEE - AIRBNB HM2MDZ,22.82,spend,
12/10/2023,12/10/2023,THE DOSEUM,26.68,spend,
12/10/2023,12/10/2023,SQ *BAKERY LORRAINE AT TH,46.76,spend,
12/11/2023,12/11/2023,PANDA EXPRESS #1049,3.00,spend,
12/11/2023,12/11/2023,PAYPAL *GRUBHUBFOOD PA,10.50,spend,
12/11/2023,12/11/2023,PAYPAL *UBER EATS,4.84,reimburseable,
12/11/2023,12/11/2023,PAYPAL *UBER EATS,4.73,reimburseable,
12/11/2023,12/11/2023,AMZN Mktp US,24.35,spend,
12/11/2023,12/11/2023,SP HARKLA,169.98,gifts,
12/13/2023,12/13/2023,APPLE.COM/BILL,-2.22,recurring,
12/13/2023,12/13/2023,APPLE.COM/BILL,9.99,recurring,
12/12/2023,12/12/2023,LS BOERNE EPICURE,44.12,spend,
12/13/2023,12/13/2023,SQ *PRESS COFFEE @ THE,49.00,spend,
12/13/2023,12/13/2023,KIDS EMPIRE NP CORP,49.58,spend,
12/13/2023,12/13/2023,DOUGH PIZZERIA NAPOLETAN,110.31,spend,
12/14/2023,12/14/2023,heb,51.56,groceries,
12/14/2023,12/14/2023,google cloud,0.05,recurring,
12/15/2023,12/15/2023,DAIRY QUEEN - BOERNE,4.32,spend,
12/16/2023,12/16/2023,CIRCLE K #2741058,12.21,spend,
12/16/2023,12/16/2023,WINGSTOP 1518,44.59,spend,
12/15/2023,12/15/2023,H-E-B #621,24.27,groceries,
12/16/2023,12/16/2023,CIRCLE K #2741058,75.00,gas,
12/18/2023,12/18/2023,Prime Video *FT1P13UK3,2.15,spend,
12/18/2023,12/18/2023,AMZN Mktp US*K64ZJ1E03,20.56,spend,
12/18/2023,12/18/2023,CHIPOTLE ONLINE,46.00,spend,
12/18/2023,12/18/2023,"AMZN Mktp US*GU5VP8XA3  
 Pay over time",108.24,spend,
12/20/2023,12/20/2023,Whole Foods VND 10444,82.16,groceries,
12/19/2023,12/19/2023,Amazon Kids+,5.32,recurring,
12/17/2023,12/17/2023,GOOGLE *FI 54JVDB,75.68,recurring,
12/18/2023,12/18/2023,"Amazon.com*PP73772W3  
 Pay over time",119.08,spend,
12/17/2023,12/17/2023,"H-E-B ONLINE #108  
 Pay over time",250.78,groceries,
12/19/2023,12/19/2023,CIRCLE K #2741084,3.19,spend,
12/19/2023,12/19/2023,FIVE BELOW 1133,44.11,spend,gifts
12/19/2023,12/19/2023,BASS PRO STORE SAN ANT,188.00,gifts,gifts
12/19/2023,12/19/2023,FSP*IRUN - DOMINION,200.00,gifts,gifts
12/20/2023,12/20/2023,SHIPLEY DO-NUTS - FC4600,16.56,spend,
12/20/2023,12/20/2023,TOMATILLOS MEXICAN RESTAU,91.15,spend,
12/21/2023,12/21/2023,Texaco,5.19,spend,
12/21/2023,12/21/2023,Ikea,294.07,spend,
12/22/2023,12/22/2023,SIXFLAGS FT SAN ANTOTX,16.40,spend,
12/22/2023,12/22/2023,SIXFLAGS FT SAN ANTOTX,34.64,spend,
12/23/2023,12/23/2023,PAYPAL *GRUBHUBFOOD KINTH,17.87,spend,
12/23/2023,12/23/2023,CIRCLE K #2741058,73.42,gas,
12/23/2023,12/23/2023,"LOWES #01088*  
 Pay over time",120.09,gifts,
12/23/2023,12/23/2023,H-E-B #621,14.87,groceries,
12/23/2023,12/23/2023,"H-E-B ONLINE #108  
 Pay over time",252.45,groceries,
12/23/2023,12/23/2023,"H-E-B #621  
 Pay over time",191.75,gifts,
12/23/2023,12/23/2023,"SIXFLAGS FT SAN ANTOTX  
 Pay over time",254.38,spend,
12/24/2023,12/24/2023,CHUCK E CHEESE 593,38.00,spend,
12/27/2023,12/27/2023,SHIPLEY DO-NUTS - FC4600,15.36,spend,
12/27/2023,12/27/2023,AMZN Mktp US*YM4XB8O63,18.23,spend,
12/27/2023,12/27/2023,AMZN Mktp US*QR8FH1U93,22.38,spend,
12/26/2023,12/26/2023,Prime Video Channels,5.40,recurring,
12/28/2023,12/28/2023,GOOGLE *CBS Mobile App,12.98,recurring,
12/26/2023,12/26/2023,GOOGLE *Google Storage,10.65,recurring,
12/26/2023,12/26/2023,PAYPAL *DISNEY PLUS,15.11,recurring,
12/28/2023,12/28/2023,STARBUCKS STORE 16904,11.36,spend,
12/28/2023,12/28/2023,SIXFLAGS FT SAN ANTOTX,23.71,spend,
12/28/2023,12/28/2023,AMZN Mktp US*990JP6OD3,39.06,spend,
12/28/2023,12/28/2023,SIXFLAGS FT SAN ANTOTX,53.03,spend,
12/28/2023,12/28/2023,Pigtails The Rim,59.90,spend,
12/29/2023,12/29/2023,SQ *LICK ICE CREAMS LL,7.03,spend,
12/28/2023,12/28/2023,PAYPAL *NETFLIX.COM,24.89,recurring,
12/28/2023,12/28/2023,RAPID EXPRESS CAR WASH -,20.00,recurring,
12/29/2023,12/29/2023,AMZN Mktp US,9.72,spend,
12/29/2023,12/29/2023,TST* REVOLUCION THE RIM,11.92,spend,
12/29/2023,12/29/2023,GOOGLE *YouTubePremium,24.89,recurring,
12/29/2023,12/29/2023,H-E-B ONLINE #108,316.52,groceries,
12/30/2023,12/30/2023,SQ *MERIT LEON SPRINGS,6.18,spend,
12/30/2023,12/30/2023,TST* THE HAYDEN,29.25,spend,
12/31/2023,12/31/2023,PAYPAL *GRUBHUBFOOD PRESS,7.72,spend,
01/01/2024,01/01/2024,ANNUAL MEMBERSHIP FEE,149.00,spend,
01/01/2024,01/01/2024,WWW.SAMUSICMASTERS.COM,90.00,recurring,
12/31/2023,12/31/2023,WILDLIFE RANCH TEXAS,21.40,spend,
01/01/2024,01/01/2024,SP BUTCHERBOX,186.00,groceries,
01/01/2024,01/01/2024,CIRCLE K #2741060,75.00,gas,
01/01/2024,01/01/2024,GOOGLE *YouTube TV,79.01,recurring,
01/01/2024,01/01/2024,PETER PIPER PIZZA #623,10.00,spend,
01/01/2024,01/01/2024,PETER PIPER PIZZA #623,10.00,spend,
01/01/2024,01/01/2024,PETER PIPER PIZZA #623,56.06,spend,
12/31/2023,12/31/2023,SQ *ALAMO FIREWORKS INC,60.48,spend,
12/31/2023,12/31/2023,WILDLIFE RANCH TEXAS,105.72,spend,
01/01/2024,01/01/2024,TARGET Balcones HeigTX,69.82,spend,
01/01/2024,01/01/2024,TARGET Balcones HeigTX,9.67,spend,
12/29/2023,12/29/2023,TARGET Balcones HeigTX,32.92,spend,
01/01/2024,01/01/2024,GOOGLE *CLOUD 4SS9ZW,0.05,recurring,
01/03/2024,01/03/2024,CHATGPT SUBSCRIPTION,21.28,recurring,
01/03/2024,01/03/2024,H-E-B #621,48.34,groceries,
01/03/2024,01/03/2024,AMZN Mktp US,-108.24,spend,
01/03/2024,01/03/2024,AMZN Mktp US,-11.68,spend,
01/03/2024,01/03/2024,AMZN Mktp US,-19.47,spend,
01/03/2024,01/03/2024,AMZN Mktp US,-22.07,spend,
01/05/2024,01/05/2024,mary's tacos,5.30,spend,
01/05/2024,01/05/2024,bechants,10.83,gifts,
01/05/2024,01/05/2024,bechants,43.30,gifts,
01/05/2024,01/05/2024,Pizza Hut,36.89,spend,
01/06/2024,01/06/2024,Matamoros,69.83,spend,
01/06/2024,01/06/2024,Minute run ,15.34,spend,
01/05/2024,01/05/2024,GVTC,95.54,recurring,
01/07/2024,01/07/2024,Santikos ,49.90,spend,
01/07/2024,01/07/2024,H-E-B ONLINE #108,179.45,groceries,
01/07/2024,01/07/2024,H-E-B #621,5.49,groceries,
01/07/2024,01/07/2024,H-E-B #621,125.93,groceries,
01/07/2024,01/07/2024,SHELL/SHELL,7.68,spend,
01/07/2024,01/07/2024,SANTIKOS PALLADIUM IMAX,29.24,spend,
01/08/2024,01/08/2024,AMAZON,10.27,spend,
01/07/2024,01/07/2024,spotify,18.39,recurring,
01/09/2024,01/09/2024,seamless,2.69,spend,
01/10/2024,01/10/2024,plan fee ford,7.22,spend,
01/11/2024,01/11/2024,CIRCLE K #2741084,3.99,spend,
01/11/2024,01/11/2024,HAMBYS,15.83,spend,
01/11/2024,01/11/2024,H-E-B #621,20.89,groceries,
,,,,,
01/10/2024,01/10/2024,plan fee gucci,10.16,spend,
01/12/2024,01/12/2024,SQ *BAKERY LORRAINE AT,16.14,spend,
01/12/2024,01/12/2024,BOERNE TACO HOUSE,24.04,spend,
01/12/2024,01/12/2024,H-E-B #621,30.31,groceries,
01/13/2024,01/13/2024,SouthtownJunctionLP,20.00,spend,
01/13/2024,01/13/2024,TST* MIXTLI,143.84,spend,
01/13/2024,01/13/2024,TST* MIXTLI,65.88,spend,
01/13/2024,01/13/2024,H-E-B ONLINE #108,209.74,groceries,
01/13/2024,01/13/2024,CIRCLE K #2741058,75.00,gas,
01/13/2024,01/13/2024,WALGREENS #5765,8.39,spend,
01/13/2024,01/13/2024,TST* LAS GUITARRAS MEXICA,105.66,spend,
01/15/2024,01/15/2024,WAL-MART #1126,10.52,groceries,
01/15/2024,01/15/2024,WAL-MART #1126,72.98,spend,
01/12/2024,01/12/2024,APPLE.COM/BILL (Storage),9.99,recurring,
01/17/2024,01/17/2024,google fi,75.69,recurring,
01/17/2024,01/17/2024,target,30.39,spend,
01/17/2024,01/17/2024,adapt,9.95,spend,
01/18/2024,01/18/2024,bhs,56.81,reimburseable,
01/18/2024,01/18/2024,starbucks,10.00,spend,
01/17/2024,01/17/2024,ladder life,72.28,recurring,
01/15/2024,01/15/2024,usaa,4.00,recurring,
01/17/2024,01/17/2024,plex,5.40,recurring,
01/18/2024,01/18/2024,kidstrong,109.00,recurring,
01/17/2024,01/17/2024,panda,10.38,spend,
01/08/2024,01/08/2024,rocket,8.53,recurring,
12/29/2024,12/29/2024,kidstrong,99.00,recurring,
01/19/2024,01/19/2024,amazon kids,5.32,recurring,
01/21/2024,01/21/2024,whole foods,154.69,groceries,
01/21/2024,01/21/2024,WHOLEFDS VND #10444,8.66,spend,
01/21/2024,01/21/2024,TARKA STONE OAK,59.56,spend,
01/21/2024,01/21/2024,SHIPLEY DO-NUTS - FC4600,5.04,spend,
01/20/2024,01/20/2024,H-E-B ONLINE #108,172.21,groceries,
01/23/2024,01/23/2024,diana half living spaces,-140.00,spend,
01/23/2024,01/23/2024,living spaces,280.37,spend,
01/23/2024,01/23/2024,airtopia,15.46,spend,
01/24/2024,01/24/2024,heb,18.88,groceries,
01/19/2024,01/19/2024,heb,23.90,groceries,
01/24/2024,01/24/2024,Panda,9.96,spend,
01/24/2024,01/24/2024,Target rug,131.22,spend,
01/25/2024,01/25/2024,PAYPAL *DISNEY PLUS,15.11,recurring,
01/28/2024,01/28/2024,RAPID EXPRESS CAR WASH -,22.00,recurring,
01/28/2024,01/28/2024,PAYPAL *NETFLIX.COM,24.89,recurring,
01/27/2024,01/27/2024,GOOGLE *CBS Mobile App,12.98,recurring,
01/25/2024,01/25/2024,GOOGLE *Google Storage,10.65,recurring,
,,,,,
01/26/2024,01/26/2024,SHELL/SHELL,15.14,groceries,
01/26/2024,01/26/2024,SHELL/SHELL,115.00,gas,
01/26/2024,01/26/2024,SQ *LA PANADERIA,47.09,spend,
01/26/2024,01/26/2024,SQ *CAFE #65228 LA CAN,6.22,spend,
01/26/2024,01/26/2024,CHICK-FIL-A #02632,11.03,spend,
01/25/2024,01/25/2024,LAZ PARKING 620439FLASH,10.00,spend,
01/29/2024,01/29/2024,GOOGLE *YouTubePremium,24.89,recurring,
01/28/2024,01/28/2024,H-E-B ONLINE #108,221.69,groceries,
01/29/2024,01/29/2024,POWERHOUSE TNT GYMNASTICS,30.00,spend,
01/30/2024,01/30/2024,west elm table 1/24,76.00,spend,
01/30/2024,01/30/2024,amazon coffee maker,21.64,spend,
01/30/2024,01/30/2024,amazon cat pack,12.94,spend,
01/31/2024,01/31/2024,farm connection,72.36,groceries,
01/31/2024,01/31/2024,seamless,9.96,spend,
01/31/2024,01/31/2024,boerne taco house,17.43,spend,
01/29/2024,01/29/2024,kidstrong,99.00,recurring,
02/01/2024,02/01/2024,coinbase,29.99,spend,
01/31/2024,01/31/2024,brownie,7.00,spend,
02/01/2024,02/01/2024,amazon,12.22,spend,
02/01/2024,02/01/2024,sa music masters,90.00,recurring,
02/01/2024,02/01/2024,youtube tv,79.01,recurring,
02/01/2024,02/01/2024,membership fee,550.00,spend,
02/02/2024,02/02/2024,kids empire,49.58,spend,southwest
02/02/2024,02/02/2024,west elm table 2/24,76.00,spend,chase travel
,,,,,
02/03/2024,02/03/2024,Amazon.com,13.79,spend,amazon
02/01/2024,02/01/2024,GOOGLE *CLOUD FzzxMz,0.05,recurring,
02/04/2024,02/04/2024,SQ *MING'S,77.94,spend,chase travel
02/04/2024,02/04/2024,CIRCLE K #2740095,2.15,spend,chase travel
02/04/2024,02/04/2024,ABERCROMBIE & FITCH #943,46.01,spend,chase travel
02/03/2024,02/03/2024,SEAWORLD-FOOD SVC,10.00,spend,chase everyday
02/04/2024,02/04/2024,CHIPOTLE 0592,19.21,spend,chase travel
02/04/2024,02/04/2024,SHIPLEY DO-NUTS - FC4600,12.74,spend,chase travel
02/03/2024,02/03/2024,SEAWORLD-FOOD SVC,18.11,spend,chase travel
02/03/2024,02/03/2024,SQ *EARLY BIRD COFFEE,18.78,spend,chase travel
02/03/2024,02/03/2024,chat gpt,21.28,recurring,chase everyday
02/02/2024,02/02/2024,H-E-B #621,47.60,groceries,chase travel
02/05/2024,02/05/2024,bakery lorraine,25.98,spend,chase travel
02/05/2024,02/05/2024,taco palenque,24.32,spend,southwest
02/01/2024,02/01/2024,chase my plan 1,200.00,spend,chase travel
02/01/2024,02/01/2024,chase my plan 2,200.00,spend,chase travel
02/02/2024,02/02/2024,chase 1/8 my plan,201.50,spend,chase travel
02/05/2024,02/05/2024,heb,227.14,groceries,chase travel
02/07/2024,02/07/2024,exxon,85.13,gas,chase travel
02/05/2024,02/05/2024,gvtc,102.32,recurring,chase everyday
02/07/2024,02/07/2024,urology,100.00,reimburseable,chase travel
02/07/2024,02/07/2024,spotify,18.39,recurring,chase everyday
02/08/2024,02/08/2024,CHIPOTLE 0569,19.86,spend,chase travel
02/07/2024,02/07/2024,panda,11.89,spend,chase everyday
,,,,,
02/08/2024,02/08/2024,acorn,143.01,reimburseable,chase travel
02/05/2024,02/05/2024,amazon,12.98,spend,amazon
02/08/2024,02/08/2024,amazon mac mini 1/12,15.50,spend,amazon
02/09/2024,02/09/2024,PLAN FEE - GUCCI #737,10.16,spend,chase travel
02/09/2024,02/09/2024,PLAN FEE - FORD OF BOERNE,7.22,spend,chase travel
02/11/2024,02/11/2024,circle k,4.56,spend,chase travel
02/09/2024,02/09/2024,ikea,161.29,reimburseable,chase travel
02/11/2024,02/11/2024,leche del tigre,100.00,reimburseable,chase travel
02/11/2024,02/11/2024,leche del tigre,73.97,spend,chase travel
02/11/2024,02/11/2024,heb,4.32,spend,chase travel
02/10/2024,02/10/2024,H-E-B #733,25.52,groceries,chase travel
02/11/2024,02/11/2024,heb,328.43,groceries,chase travel
02/12/2024,02/12/2024,cava,16.00,spend,chase travel
02/12/2024,02/12/2024,rodeo,20.00,spend,southwest
02/12/2024,02/12/2024,rodeo ice cream,10.00,spend,southwest
02/12/2024,02/12/2024,Samsung 1/24,60.00,spend,amazon
02/11/2024,02/11/2024,icloud,9.99,recurring,chase everyday
,,,,,
02/18/2024,02/18/2024,Whole Foods DOM 10316,29.99,groceries,amazon
02/18/2024,02/18/2024,Whole Foods DOM 10316,66.07,spend,amazon
,,,,,
,,,,,
02/17/2024,02/17/2024,GOOGLE *FI JV2ZZN,75.69,recurring,chase everyday
02/15/2024,02/15/2024,PAYPAL *GRUBHUBFOOD KI,12.58,spend,chase everyday
02/15/2024,02/15/2024,LULU'S TEAHOUSE,7.66,spend,chase travel
02/15/2024,02/15/2024,WAL-MART #1126,31.88,spend,chase travel
02/15/2024,02/15/2024,"PAYPAL *IKEANORTHAM IKEA.  
 Pay over time",214.34,reimburseable,chase travel
02/15/2024,02/15/2024,IKEA LIVE OAK,27.05,spend,chase travel
02/18/2024,02/18/2024,SQ *MUSEUM OF ICE CREA,19.48,spend,chase travel
02/18/2024,02/18/2024,PTI*MOIC ATX,109.32,spend,chase travel
02/18/2024,02/18/2024,SQ *BRENTWOOD SOCIAL H,49.75,spend,chase travel
02/17/2024,02/17/2024,CVS BY SWYFT,2.26,spend,chase travel
02/17/2024,02/17/2024,HYATT REGENCY AUSTIN,338.56,reimburseable,chase travel
02/17/2024,02/17/2024,chase travel credit,-300.00,reimburseable,chase travel
02/17/2024,02/17/2024,90261 - MUELLER -,2.00,spend,chase travel
02/17/2024,02/17/2024,PY *BAO'D UP,60.33,spend,chase travel
02/17/2024,02/17/2024,AUSTIN CENTRAL LIBRARY PA,9.00,spend,chase travel
02/17/2024,02/17/2024,WWW.LADDERLIFE.COM,72.28,recurring,chase travel
02/17/2024,02/17/2024,STARBUCKS STORE 10647,30.77,spend,chase travel
02/15/2024,02/15/2024,MURPHY7652ATWALMART,70.53,gas,chase travel
02/17/2024,02/17/2024,plex,5.40,recurring,amex
02/15/2024,02/15/2024,usaa,4.00,recurring,amex
02/18/2024,02/18/2024,kidstrong,109.00,recurring,amex
02/16/2024,02/16/2024,chase 2/8 my plan,201.50,spend,chase travel
02/16/2024,02/16/2024,Samsung 2/24,60.00,spend,amazon
02/16/2024,02/16/2024,amazon mac mini 2/12,15.50,spend,amazon
02/16/2024,02/16/2024,west elm table 3/24,76.00,spend,chase travel
02/16/2024,02/16/2024,SAN ANTONIO ZOOLOGICAL SO,16.00,spend,southwest
02/15/2024,02/15/2024,CIRCLE K #2741058,24.09,spend,chase travel
02/19/2024,02/19/2024,H-E-B #566,275.08,groceries,chase travel
02/19/2024,02/19/2024,H-E-B #621,38.04,groceries,chase travel
02/19/2024,02/19/2024,AMZN Mktp US,8.27,spend,amazon
02/21/2024,02/21/2024,PAYPAL *GRUBHUBFOOD PA,9.94,spend,chase everyday
02/21/2024,02/21/2024,H-E-B ONLINE #108,14.52,groceries,chase travel
02/21/2024,02/21/2024,GOOGLE *A Medium Corp,5.40,recurring,chase travel
